파일명,Interphase(간기),Prophase(전기),Metaphase(중기),Anaphase(후기),Telophase(말기),총합
13c69905-Mitosis1-plain_jpg.rf.07944069751720e0cecabd7fb9b53d37.jpg,0,0,4,3,0,7
41bb08b2-root-tip-of-onion-and-mitosis-cell-in-the-root-tip-of-onion-under-a-mi_YmiXxvV_jpg.rf.56e6e4575d9d4c5710c695d3a3043cb4.jpg,0,0,2,1,0,3
41bb08b2-root-tip-of-onion-and-mitosis-cell-in-the-root-tip-of-onion-under-a-mi_YmiXxvV_jpg.rf.dcd686cecc82a8421585f389b1bf5729.jpg,0,0,16,2,0,18
430ff468-DaFcCu4tSTwwGo6SpJWcCbeWA5IDYEnnFn5LMUKo2Yp9HGqWmtKgeAHLRjNxoUqCkPi1aS_VQMuYMJ_jpg.rf.117b29b58303d7d07e36c70dc69d4157.jpg,0,0,0,0,0,0
56b8aeb6-php2PJ452_jpg.rf.20d50025e07a830e2844da940dc5d2ef.jpg,0,0,2,1,0,3
5e0b70ae-Mitosis3-plain_jpg.rf.cb372b4948cfbfb355735410ebefe3ff.jpg,0,0,1,0,0,1
9c493a07-800wm_jpg.rf.1f7d53c5ddbe7f1eeb2b3186656af891.jpg,0,0,0,2,0,2
a3d930fe-istockphoto-1332594737-612x612_jpg.rf.d85931704037dc1b0d6d420cfa555b3c.jpg,0,0,0,0,0,0
d07b204c-8_jpg.rf.4a04e93244bed586d6e39ff4d7a0d4b3.jpg,0,0,15,0,0,15
d34d4590-onion3_jpg.rf.3d8e4b48fffd687ef7ddd6cfa20d8d19.jpg,0,0,0,1,0,1
